"primaryNameTib","primaryNameSkt","primaryNameEng","primaryNameLang","otherNameTib","otherNameSkt","otherNameEng","Dates","Date-Begin","Date-End","TranslatedBy","TranslatorOf","recID","bAuthor","bTranslator","Notes"
"CHOS DPAL","dharmashri-","Dharmashri","TB","","","","","0","25","","","36","1","0",""
"CHOS KYI BSHES GNYEN","dharmamitra","Dharmamitra","TB","","","","","0","25","","","37","1","0",""
"CHOS KYI GRAGS PA","dharmaki-rti","Dharmakirti","TB","CHOS KYI GRAGS PA","dharmaki-rti","Dharmakirti","c. 650","11","11","","","38","0","0",""
"CHOS KYI GRAGS PA DPAL","dharmaki-rtishri-","Dharmakirtishri","TB","","","","","0","25","","","39","1","0",""
"CHOS LDAN RAB 'BYOR DBYANGS","dha-rmikasubhu-tighos.a","Dharmikasubhutighosha","SK","","","","","0","25","","","40","1","0",""
"CHOS MCHOG","dharmottara","Dharmottara","TB","CHOS MCHOG","dharmottara","Dharmottara","","0","25","","","41","0","0",""
"NGAG DBANG DPAL LDAN","","Ngawang Pelden","TB","CHOS RJE NGAG DBANG DPAL LDAN;KHAL KHA NGAG DBANG DPAL LDAN;CHOS RJE KHAL KHA NGAG DBANG DPAL LDAN;U RGE CHOS RJE NGAG DBANG DPAL LDAN;DPAL LDAN NYI MA","","Chuje Ngawang Pelden;Kalkha Ngawang Pelden;Chuje Kalka Ngawang Pelden;Urge Chuje Ngawang Pelden;Pelden Nyima","b. 1797","22","22","","","43","1","0",""
"CHOS KYI GRAGS PA","dharmapa-la","Serlingpa","SK","GSER GLING PA CHOS KYI GRAGS PA;CHOS SKYONG (GSER GLING PA)","","Dharmapala;Serlingpa Chukyi Drakpa;Chukyong","b. 10th century","14","14","","","44","1","0",""
"NGAG DBANG CHOS 'PHEL","","Ngawang Chupel","TB","KHRI 70 NGAG DBANG CHOS 'PHEL;DGA' LDAN GSER KHRI BDUN CU PA NGAG DBANG CHOS 'PHEL;BKA' 'GYUR BA NGAG DBANG CHOS 'PHEL;STAG BRAG 01 NGAG DBANG CHOS 'PHEL;STAG BRAG PAndI TA NGAG DBANG CHOS 'PHEL","","The 70th Seat, Ngawang Chupel;The 70th Ganden Throne Holder, Ngawang Chupel;Kangyurpa Ngawang Chupel;The First Takdrak, Ngawang Chupel;Takdrak Pandita Ngawang Chupel","1760-1839","22","23","","","45","1","0","Assumes Office 1819/1823 Dga' ldan khri at dga' ldan dgon (stag rtse rdzong)\
Leaves Office 1823/1829 Dga' ldan khri at dga' ldan dgon (stag rtse rdzong)\
\
FoundsMonastery 18th cent. at stag lung brag ri khrod (stod lung bde chen rdzong)\
\
Dates of tenure as dga' ldan khri given as 1823-1829\
Noted as the 1st of the stag brag incarnation lineage and title as stag brag paNDi ta\
\
Sungbum in 1 printed volume, a gsung thor bu.\
Entered 'Bras-spungs Sgo-mang.\
Became Skyor-dpon for the Mdzod.\
1792. Took his Dge-bshes Lha-rams-pa.\
1822. Ascends the throne of Dga'-ldan.\
1828. Retires as khri of Dga'-ldan.\
Connected with the hermitage of Stag-lung-brag.\
\
Born in the 18th century in today's mar rkyang of snye mo rdzong; became a monk at 'bras spungs sgo mang; very poor but was able to continue his studies and become a geshe.\
After serving as mkhan po of 'bras spungs and rguid smad mkhan po, came to the throne of dga' ldan; named as tutor of the 10th dalai lama tshul khrims rgya mtsho.\
Was rewarded by the government with the stod lung rgya le gzhis ka and the control over a nomadic group; the proceeds of the nomadic community were gifted to har gdong kham tshan of 'bras spungs.\
The government rewarded him with a golden jo bo called the stag brag jo bo which was given to sgo mang grwa tshang\
In accordance with a prophecy of klong rdol bla ma ngag dbang blo bzang he founded the stag brag ri khrod on the site where the gcod pa sangs rgyas phun tshogs meditated; enjoyed the patronage of sger bshad sgra in building enlarging this hermitage; eight monks were placed here;\
very generous and was a sponsor of the smon lam on several occasions.\
"
"D'A NA SH'I LA","da-nashi-la","Danashila","SK","","","","","0","25","","","46","1","0",""
"DAD PA 'BYUNG GNAS GO CHA","shraddha-karavarma","Shraddhakaravarma","TB","","","","","0","25","","","47","1","0",""
"ACIP staff","","","EN","","","ACIP staff","","0","25","","","48","0","0",""
"DAmshtR'A SE NA","dam.s.t.ra-sena","Damshtrasena","SK","","","","","0","25","","","49","1","0",""
"DAR HAN CHOS RJE'I SPRUL MING YE SHES MKHAS BTZUN RGYA MTSO","","Darhen Chuje Trulming Yeshe Ketsun Gyatso","TB","DAR HAN CHOS RJE'I SPRUL MING YE SHES MKHAS BTZUN RGYA MTSO","","Darhen Chuje Trulming Yeshe Ketsun Gyatso","c. 1885","23","23","","","50","0","0",""
"DBU MA'I SENG GE","ma-dhyamikasim.ha","Madhyamikasimha","SK","","","","","0","25","","","51","1","0",""
"SANGS RGYAS YE SHES ZHABS","buddhajn~a-napa-da","Buddhajnyanapada","SK","YE SHES ZHABS;SLOB DPON YE SHES ZHABS","","Yeshe Shap;Loppun Yeshe Shap","9th century ?","13","0","","","321","1","0",""
"DBYANGS CAN DGA' BA'I BLO GROS","","Wangchen Gawey Lodru","TB","","","","1740-1827","22","23","","","52","0","0",""
"BLO BZANG CHOS 'PHEL","","Losang Chupel","TB","BDE CHEN LHO BRAG PA BLO BZANG CHOS 'PHEL;LHO BRAG PA BLO BZANG CHOS 'PHEL","","Dechen Hlodrakpa Losang Chupel;Hlodrakpa Losang Chupel","b. 19th century","23","23","","","53","1","0","Meditations at famed sites in: Lho-brag (in Dbus), Mdo khams kyi MaNDal , Gser-chen Stag-rdzong.\
Sungbum in one large volume in the Mi-rigs Rig-gnas Pho-brang."
"BLO BZANG TSUL KHRIMS (3)","","Losang Tsultrim (3)","TB","'BRONG RTZE YONGS 'DZIN BLO BZANG TSUL KHRIMS;'BRONG RTZE BLO BZANG TSUL KHRIMS;SNGAGS CHEN BLO BZANG TSUL KHRIMS;BKRA SHIS LHUN PO RGYUD PA GRWA TSANG GI KHRI THOG 18 PA BLO BZANG TSUL KHRIMS","","Drongtse Yongdzin Losang Tsultrim;Drongtse Losang Tsultrim;Ngakchen Losang Tsultrim;The 18th Tashi Hlunpo Gyupa Dratsang gi Tritok, Losang Tsultrim","1745-1800","22","23","","","382","1","0","dge lugs incarnation of the bkra shis lhun po tradition; became a yongs 'dzin of the 4th paN chen bla ma\
 \
1757. Entered 'Brong-rtse Chos-sde for studies.\
Studies in Bkra-shis-lhun-po at Thos-bsam-gling College.\
1774. Took Rab-'byams-pa degree.\
Served 3 years in the Rgyud-pa Grwa-tshang.\
Spent many years in Lho 'Brug-yul in solitary meditation.\
Returns to Tibet and to Bkra-shis-lhun-po where he becomes Slob-dpon of the Rgyud-pa Grwa-tshang.\
1795. Becomes yongs-'dzin of the 4th PaN-chen Bstan-pa'i-nyi-ma.\
After two years resigns to solitary meditation at Bde-chen-chos-'khor Ri-khrod.\
gsung 'bum in one volume"
"DBYIG GNYEN","vasubandhu","Vasubandhu","SK","","","","c. 350","8","8","","","54","1","0",""
"DE BA SH'A NITA","","","TB","DE BA SH'A NITA","devasha-nti","Devashanti","","0","25","","","55","0","0",""
"DGA' BA'I DPAL","nandashri-","Nandashri","SK","","","","","0","25","","","56","1","0",""
"DGA' RAB RDO RJE","surativajra","Surativajra","TB","","","","","0","25","","","57","1","0",""
"DGE BA'I 'BYUNG GNAS SBAS PA","","","TB","DGE BA'I 'BYUNG GNAS SBAS PA","","Gewey Jungney Bepa","","0","25","","","58","0","0",""
"DGE BA'I GO CHA","kalya-n.avarman","Kalyanavarman","SK","","","","7th century?","11","0","","","59","1","0",""
"DGE BA'I LHA","kalya-n.adeva","Kalyanadeva","SK","","","","","0","25","","","60","1","0",""
"DGE BSHES 'CHAD KA BA YE SHES RDO RJE","","Geshe Chekawa Yeshe Dorje","TB","'CHAD KA BA YE SHES RDO RJE;DGE BSHES 'CHAD KA BA YE SHES RDO RJE","","Chekawa Yeshe Dorje;Geshe Chekawa Yeshe Dorje","1101-1175","16","16","","","61","0","0",""
"DGE BSHES GRO LUNG PA BLO GROS 'BYUNG GNAS","","","TB","DGE BSHES GRO LUNG PA BLO GROS 'BYUNG GNAS","","Geshe Drolungpa Lodru Jungne","c. 1100","16","16","","","62","0","0",""
"DGE BSHES THUB BSTAN 'PHEL RGYAS","","","TB","DGE BSHES THUB BSTAN 'PHEL RGYAS","","Geshe Tupten Pelgye","","0","25","","","63","0","0",""
"DGE BSHES THUB BSTAN RIN CHEN","","","TB","DGE BSHES THUB BSTAN RIN CHEN","","Geshe Tupten Rinchen","","0","25","","","64","0","0",""
"DGE BSHES YE SHES DBANG PHYUG","","","TB","DGE BSHES YE SHES DBANG PHYUG","","Geshe Yeshe Wangchuk","1928-1997","24","24","","","65","0","0",""
"DGE LEGS BSHES GNYEN","","","TB","DGE LEGS BSHES GNYEN","kalya-n.amitra","Kalyanamitra","","0","25","","","66","0","0",""
"DGE LEGS RIN PO CHE, NYAG RE MKHAN SPRUL NGAG DBANG DGE LEGS","","","TB","DGE LEGS RIN PO CHE, NYAG RE MKHAN SPRUL NGAG DBANG DGE LEGS","","Gelek Rinpoche","1939-","24","24","","","67","0","0",""
"DGE SLONG KUN DGA' LEGS PA'I RIN CHEN","","","TB","DGE SLONG KUN DGA' LEGS PA'I RIN CHEN","","Gelong Kunga Lekpey Rinchen","c. 1450","19","19","","","68","0","0",""
"DGE SLONG SHES RAB DBANG PO","","","TB","DGE SLONG SHES RAB DBANG PO","","Gelong Sherab Wangpo","","0","25","","","69","0","0",""
"DGRA LAS RGYAL GSANG BA","jeta-ri","Jetari","TB","DGRA LAS RNAM PAR RGYAL BA;DZE T'A RI PA","guhyajeta-ri","Guhyajetari","","0","25","","","71","1","0",""
"DKA' CHEN BLO BZANG BKRA SHIS","","Kachen Losang Tashi","TB","","","","20th century","24","24","","","73","0","0",""
"DKON MCHOG GSUM GYI 'BANGS","triratnada-sa","Triratnadasa","SK","","","","","0","25","","","75","1","0",""
"DKON MCHOG 'JIGS MED DBANG PO","","Konchok Jigme Wangpo","TB","'JAM DBYANGS BZHAD PA 02 DKON MCHOG 'JIGS MED DBANG PO;'JAM DBYANGS BZHAD PA SKU PHRENG GNYIS PA PA DKON MCHOG 'JIGS MED DBANG PO;BLA SGO;NGAG DBANG 'JAM DBYANGS 'PHRIN LAS RGYAL MTSHAN;SKU 'BUM KHRI 30 DKON MCHOG 'JIGS MED DBANG PO;'JAM DBYANGS LEGS BSHAD 'PHRENG BA'I BLO GROS;BLA BRANG KHRI 11 DKON MCHOG 'JIGS MED DBANG PO","","The Second Jamyang Shepa, Konchok Jigme Wangpo;Lago;Ngawang Jamyang Trinley Gyeltsen;The 30th Throne Holder of Kunbum,  Konchok Jigme Wangpo;Jamyang Lekshey Trengwey Lodru;The 11th Throne Holder of Ladrang,  Konchok Jigme Wangpo","1728-1791","22","22","","","76","1","0","11th khri of bla brang bkra shis 'khyil.\
1743. Recognized as the rebirth of Jamyang Shepey Dorje\
1752. To Central Tibet and enters 'bras-spungs sgo-mang. Drepung Gomang ('bras-spungs sgo-mang).\
1760. Founds a-mchog bde-mo-thang dga'-ldan-chos-'khor-gling.\
1761. First blockprint editions at Tashikyil (bkra-shis-'khyil).\
1764-1768. On Throne of Kumbum\
1777. Honors from emperor.\
1784. 2nd visit to Central Tibet. Collects over 3,000 volumes of rare books.\
Died at ka-mdo gdong-dmar dgon bkra-shis--chos-sde.\
Collected works in 10+ volumes.\
teacher/student lineage dpal mgon bran du gtad pa bram ze nag po 'i man ngag gi rjes gnang, Pha bong gsan yig, v. 1, pp..158"
"DMU DGE BSAM GTAN RGYA MTSO","","Muge Samten Gyatso","TB","","","","1914-1993","24","24","","","77","1","0",""
"DHARMA BHA DRA","","Dharma Bhadra","TB","DNGUL CHU DHARMA BHA DRA;CHOS KYI BZANG PO, DNGUL CHU;BLO BZANG TSE RING","","Master Quicksilver;Ngulchu Dharma Bhadra;Losang Tsering","1772-1851","22","23","","","78","0","0","Very significant dge lugs master and scholar; he studied at bkra shis dge 'phel and established his seat at the ancient dngul chu monastery of rgyal sras thogs med bzang po dpal in western tibet."
"DON YOD RDO RJE","amoghavajra","Amoghavajra","TB","","","","","0","25","","","79","0","0",""
"DPA' BAR 'GRO BA GO CHA","shu-ran*gamavarma","Shurangama-varma","TB","","","","","0","25","","","80","1","0",""
"DPA' BO","","","TB","DPA' BO","vi-ra","Vira","","0","25","","","81","0","0",""
"DPA' BO RDO RJE","vi-ravajra","Viravajra","TB","","","","","0","25","","","82","1","0",""
"DPAL 'DZIN","","","TB","DPAL 'DZIN","","Peldzin","","0","25","","","83","0","0",""
"DPAL LDAN SMAD RGYUD GRVA TSANG GI MKHAN PO SER BYES HAR GDONG BYAMS PA SKAL BZANG","","","TB","DPAL LDAN SMAD RGYUD GRVA TSANG GI MKHAN PO SER BYES HAR GDONG BYAMS PA SKAL BZANG","","Pelden Mey Gyudra Tsanggi Khenpo Sera Je Hardong Jampa Kelsang; Sera Je Harsong Jampa Kelsang","","0","25","","","84","0","0",""
"DPAL SBAS","shri-gupta","Shrigupta","SK","","","","","0","25","","","85","1","0",""
"DPAL SKYE BO CHEN PO","shri-maha-jana","Shrimahajana","SK","","","","","0","25","","","86","1","0",""
"DRAN PA YE SHES GRAGS PA","smr.tijn~a-naki-rti","Smrtij?anakirti","SK","","","","","0","25","","","87","1","0",""
"DRI MED DPAL","vimalashri-","Vimalashri","TB","","","","","0","25","","","88","1","0",""
"DRUNG CHEN SHES RAB RGYA MTSO PRADZNY'A'I MTSAN CAN","","","TB","DRUNG CHEN SHES RAB RGYA MTSO PRADZNY'A'I MTSAN CAN","","Drungchen Sherab Gyatso Pradznyay Tsenchen","1803-1875","23","23","","","89","0","0",""
"DUL BA'I LHA","","","TB","DUL BA'I LHA","vini-tadeva","Vinitadeva","","0","25","","","90","0","0",""
"'DUS BZANG","san*ghabhadra","Sanghabhadra","TB","","","","","0","25","","","91","0","0",""
"DZA GATTA T'A LAR GNAS PA","jagaddala viha-ra","Jagaddala Vihara","SK","","","","","0","25","","","92","1","0",""
"DZA M'A RI","jama-ri","Jamari","TB","","","","","0","25","","","93","1","0",""
"DZA YA A'A NANDA","jaya-nanda","Jayananda","SK","","","","","0","25","","","94","1","0",""
"DZA YA SE NA","jayasena","Jayasena","TB","","","","","0","25","","","95","1","0",""
"DZE SMAD BLO BZANG DPAL LDAN BSTAN 'DZIN YAR RGYAS","","Dzemey Losang Pelden Tendzin Yargye","TB","DZE SMAD RIN PO CHE BLO BZANG DPAL LDAN BSTAN 'DZIN YAR RGYAS;BLO BZANG DPAL LDAN BSTAN 'DZIN YAR RGYAS;BLO GTER DGYES PA'I LANG TSO","","Dzeme Rinpoche Losang Pelden Tendzin Yargye;Losang Pelden Tendzin Yargye;Loter Gyepey Langtso","1927-1996","24","24","","","96","1","0",""
"DZE SMAD RIN PO CHE RJE BTZUN BLO BZANG DPAL LDAN","","","TB","DZE SMAD RIN PO CHE RJE BTZUN BLO BZANG DPAL LDAN","","Dzeme Rinpoche Jetsun Lobsang Pelden","","0","25","","","97","0","0",""
"GLANG RI THANG PA RDO RJE SENG GE","","","TB","GLANG RI THANG PA RDO RJE SENG GE","","Langri Tangpa Dorje Sengge","1054-1123","15","16","","","98","0","0",""
"GNYIS MED RDO RJE","","","TB","GNYIS MED RDO RJE","maitri-gupta; maitri-pa; advayavajra","Maitrigupta","11th century","15","15","","","99","0","0",""
"BSAM GTAN RGYA MTSO","","Samten Gyatso","TB","DMU DGE BSAM GTAN;DMU DGE BSAM GTAN RGYA MTSO","","Mugey Samten;Mugey Samten Gyatso","1914-1993","24","24","","","439","1","0",""
"'GRO BZANG SNYING PO","sugatigarbha","Sugatigarbha","TB","","","","","0","25","","","102","0","0",""
"GSER BRIS","","","TB","GSER BRIS","","Serdri","","0","25","","","103","0","0",""
"GTZANG PAndI TA","","","TB","GTZANG PAndI TA","","Tsang Pandita","","0","25","","","105","0","0",""
"BLO GROS RGYA MTSO","","Lodru Gyatso","TB","SKU ZHANG BLO GROS RGYA MTSO;AA KHU BLO GROS RGYA MTSO","","Kushang Lodru Gyatso;Aku Lodru Gyatso","fl. 18th c.","23","23","","","106","1","0","dge lugs personage associated with the bla brang bkra shis 'khyil tradition; he was probably the maternal uncle of the 2nd 'jam dbyangs bzhad pa"
"DKON MCHOG BSTAN PA'I SGRON ME","","Konchok Tenpey Drunmey","TB","GUNG THANG DKON MCHOG BSTAN PA'I SGRON ME;GUNG THANG 03 DKON MCHOG BSTAN PA'I SGRON ME;GUNG THANG 03 'JAM PA'I DBYANGS;BLA BRANG KHRI 21 DKON MCHOG BSTAN PA'I SGRON ME;RNGA BA SGO MANG KHRI RABS 01 DKON MCHOG BSTAN PA'I SGRON ME","","Gungtang Konchok Tenpey Drunme;Gungtang Jampey Yang;Ladrang Tri Konchok Tenpey Drunme;Ngawa Gomang Trirap Konchok Tenpey Drunme","1762-1823","22","23","","","107","0","0","First of the abbatial lineage of rnga ba sgo mang monastery.\
1768. recognized as the rebirth of khri dge-'dun-phun-tshogs and brought to bla-brang.\
1778. to dbus and studies at 'bras-spungs sgo-mang.\
1782. final vows from the 8th dalai lama 'jam-dpal-rgya-mtsho.\
1783. took lha-rams-pa degree.\
1786. studies completedm he returns to bla-brang.\
1792. becomes the 21st khri of bla-brang bkra-shis-'khyil.\
Sungbum in 12 vols. (bla-brang bkra-shis-'khyil) or 8 vols. (lha-sa new zhol).\
\
21st khri of bla brang bkra shis 'khyil\
Info about medical works: gso rig dkar chag (p. 41).\
Dates: b. chu rta (1762); d. chu lug (1823)\
Birthplace: bsang chu\
Father: the bo lcags bo byams\
Mother: bo cog\
"
"GYER SGOM CHEN PO","","","TB","GYER SGOM CHEN PO","","Gyergom Chenpo","1090-1171","15","16","","","108","0","0",""
"GZHAN LA PHAN PA","parahita","Parahita","SK","","","","","0","25","","","109","1","0",""
"GZHON NU DPAL BZANG PO","kuma-rashri-bhadra","Kumarashri Bhadra","TB","","","","","0","25","","","110","1","0",""
"HOR STON NAM MKHA' DPAL","","","TB","HOR STON NAM MKHA' DPAL","","Hortun Namkha Pel","17th century","21","21","","","111","0","0",""
"'JAM DBYANGS BZHAD PA NGAG DBANG BRTZON 'GRUS","","Jamyang Shepa Ngawang Tsundru","TB","","","","1648-1721","21","22","","","112","0","0",""
"'JAM DBYANGS BZHAD PA SKU PHRENG GNYIS PA PA DKON MCHOG 'JIGS MED DBANG PO","","Jamyang Shepa II, Konchok Jikme Wangpo","TB","","","","1728-1791","22","22","","","113","0","0",""
"'JAM DBYANGS BZHAD PA'I RDO RJE","","Jamyang Shepey Dorje","TB","NGAG DBANG BRTZON 'GRUS;'JAM DBYANGS BZHAD PA 01 NGAG DBANG BRTZON 'GRUS;DBAL SHUL NGAG DBANG BRTZON 'GRUS;BLO BZANG RGYAL MTSAN;BLA BRANG KHRI 01 NGAG DBANG BRTZON 'GRUS;‘BRAS SPUNGS SGO MANG GRWA TSHANG GI MKHAN THOG 32;BLA BRANG KHRI 01;BLA BRANG GDAN RABS 01;BLA BRANG RGYUD PA KHRI 01;‘JAM DBYANGS BZHAD PA 01",";;;;;;;;;","Ngawang Tsundru;The First Jamyang Shepa, Ngawang Tsundru;Pelshul Ngawang Tsundru;Losang Gyeltsen;;;;;;","1648-1721","21","22","","","114","1","0",""
"'JAM DPAL DGE 'DUN RGYA MTSO","","Jampel Gendun Gyatso","TB","","","","c. 1770","22","22","","","115","0","0",""
"'JAM DPAL RGYA MTSO","","Jampel Gyatso","TB","","","","","0","25","","","116","0","0",""
"'JIGS MED 'BYUNG GNAS SBAS PA","abhaya-karagupta","Abhayakaragupta","TB","","","","d. 1125","16","16","","","117","1","0",""
